aggregate_date,place_name,region,place_type,carrier_name,aggregation_period,technology_type,sample_count,mean_download_kbps,mean_upload_kbps,mean_latency_ms,median_download_kbps,median_upload_kbps,median_latency_ms,iso_anomaly,iso_score,ocsvm_anomaly,ocsvm_score,ae_mse,ae_anomaly,ae_threshold,all_methods,download_score,upload_score,latency_score,worst_score,detection_methods,methods_count
2026-03-01,City_62ACE206,Alexandria,locality,Operator A,Day,5G,6,514749,30256,27,568283,22510,26,1,-0.03240186665409395,1,-3.2195585062709995,0.013690318166584921,1,0.008655501447155472,3,0.2236719070485751,0.6383067745753189,0.09642857142857143,0.34605868916306526,"IsolationForest, OC-SVM, Autoencoder",3
2026-03-01,City_0FA635E3,Assiut,locality,Operator C,Day,Multi-RAT,7,207295,33774,74,121039,16942,69,1,-0.04347370236385728,1,-6.934800998737096,0.011811013574028294,1,0.008655501447155472,3,0.6873642648584735,0.5962510908417114,0.2642857142857143,0.5734816383974459,"IsolationForest, OC-SVM, Autoencoder",3
2026-03-01,City_DB09B6DD,Fayoum,locality,Operator B,Day,Multi-RAT,5,6130,2716,87,2567,2134,56,1,-0.07382001386576964,1,-4.133461925160361,0.009888141650678629,1,0.008655501447155472,3,0.9907549286938057,0.9675317688969648,0.3107142857142857,0.783022610971201,"IsolationForest, OC-SVM, Autoencoder",3
2026-03-01,City_4C5E2F5B,Giza,locality,Operator B,Day,5G,7,416496,17089,17,314900,12580,14,1,-0.026523265279869368,1,-6.986827105751232,0.02044099389605016,1,0.008655501447155472,3,0.3718539610530634,0.7957107506186417,0.060714285714285714,0.4260980202592395,"IsolationForest, OC-SVM, Autoencoder",3
2026-03-02,City_B6170227,Port Said,locality,Operator B,Day,5G,5,235467,52013,25,266213,36532,26,1,-0.002336146224194202,1,-3.281788201295491,0.021980186748604056,1,0.008655501447155472,3,0.6448761492241982,0.37821424728933306,0.08928571428571429,0.46037902343326026,"IsolationForest, OC-SVM, Autoencoder",3
2026-03-02,City_637E7076,Monufia,locality,Operator B,Day,5G,5,361347,72221,26,321428,89919,29,1,-0.07317089949177025,1,-21.81876659136856,0.0379866818939859,1,0.008655501447155472,3,0.45502793127578967,0.1366391316302256,0.09285714285714286,0.33719614169350387,"IsolationForest, OC-SVM, Autoencoder",3
2026-03-02,City_C14823C1,Minya,locality,Operator B,Day,Multi-RAT,5,145418,8409,73,24512,8694,45,1,-0.006872804993648507,1,-0.6774629201283062,0.01033078866076474,1,0.008655501447155472,3,0.7806851909944258,0.8994752005355584,0.26071428571428573,0.6703834022191677,"IsolationForest, OC-SVM, Autoencoder",3
2026-03-02,City_9BABC4DA,Cairo,locality,Operator B,Day,LTE,9,36190,8646,98,35535,3008,32,1,-0.012957580855811002,1,-1.6727144839954278,0.012795632544613784,1,0.008655501447155472,3,0.9454193914239521,0.896642000693357,0.35,0.7624961567082523,"IsolationForest, OC-SVM, Autoencoder",3
2026-03-02,City_0FA635E3,Assiut,locality,Operator B,Day,5G,6,442344,28845,42,438796,21771,40,1,-0.012794121769251432,1,-1.6650097537287891,0.008696805022394906,1,0.008655501447155472,3,0.33287082840665044,0.6551744749016748,0.15,0.4091832263429952,"IsolationForest, OC-SVM, Autoencoder",3
2026-03-02,City_B8DF22FB,Dakahlia,locality,Operator B,Day,Multi-RAT,6,58538,14477,102,37222,7669,57,1,-0.02121507914655696,1,-3.2896732946978346,0.016914527191037147,1,0.008655501447155472,3,0.9117148476146811,0.8269357210314282,0.36428571428571427,0.7393587975378724,"IsolationForest, OC-SVM, Autoencoder",3
