region,mean_download,std_download,count,cv
Fayoum,69487.24836601307,68503.95737494277,1071,98.58493318674675
Sharqia,115732.95508982036,100942.99326273495,668,87.22061333731008
Dakahlia,130243.81584158416,103952.77771258586,1010,79.8139835207407
Sohag,106872.96984924623,83525.7944705615,199,78.15427473231257
Cairo,141506.7591522158,110565.11969968809,519,78.13416147899731
Minya,133800.85838150288,100923.80403030795,346,75.42836813688186
Ismailia,158411.56595744682,118745.7350760629,705,74.96026843643531
Alexandria,163545.156,117847.17746616855,250,72.05788318558855
Port Said,189979.328313253,126817.55356396602,996,66.75334347685406
Giza,193326.35955056178,121242.79903244863,1958,62.714054779860106
Gharbia,250290.86524822694,135735.47139887413,141,54.23109279847586
Assiut,234961.31972789115,120853.49029288486,147,51.435483267137485
Monufia,210226.15789473685,106174.27943477995,76,50.5047899357714
