aggregate_date,iso_anomaly,ocsvm_anomaly,ae_anomaly,methods_agree,high_confidence_anomaly,mean_download_kbps,mean_latency_ms
2026-03-20,31,38,35,104,32,146254.47792207793,39.58961038961039
2026-03-08,25,23,25,73,25,147098.88743455498,37.455497382198956
2026-03-18,24,22,24,70,22,149893.3145780051,37.52173913043478
2026-03-10,21,28,19,68,22,157161.82864450128,37.0
2026-03-09,20,20,22,62,21,151020.4591029024,38.41688654353562
2026-03-02,24,22,25,71,20,159306.14,35.85
2026-03-15,23,19,20,62,19,155686.15363881402,38.307277628032345
2026-03-19,15,23,23,61,19,146167.48484848486,35.89393939393939
2026-03-07,24,20,26,70,18,156133.0054495913,36.0408719346049
2026-03-11,15,17,19,51,16,150309.0145631068,36.33009708737864
2026-03-13,16,20,15,51,15,148462.945026178,37.07329842931937
2026-03-01,17,20,14,51,15,165207.42525773196,35.32216494845361
2026-03-21,21,18,19,58,14,149111.90489130435,37.69565217391305
2026-03-12,14,18,16,48,14,143746.39603960395,36.28465346534654
2026-03-14,17,14,19,50,13,158985.32222222222,37.66388888888889
2026-03-04,22,15,20,57,13,161125.4599483204,35.49354005167959
2026-03-16,16,14,18,48,12,144988.53846153847,36.58355437665782
2026-03-06,12,17,9,38,10,149053.34848484848,35.54040404040404
2026-03-05,18,10,18,46,10,153976.0291970803,35.71289537712895
2026-03-17,16,12,7,35,10,146171.17307692306,36.32142857142857
2026-03-03,14,17,12,43,9,155983.47466666668,35.192
